VehicleId,DOL Vehicle ID,VIN (1-10),2020 Census Tract,City,City URI,Postal Code,Model Year,Make,Make URI,Model,Model URI,Electric Vehicle Type,Electric Vehicle Type URI,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range
VID_KM8K53AG6N_179423429,179423429,KM8K53AG6N,53021020605,Pasco,https://www.wikidata.org/wiki/Q844016,99301,2022,Hyundai Motor Company,https://www.wikidata.org/wiki/Q55931,Hyundai Kona,https://www.wikidata.org/wiki/Q30322680,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_7SAYGDEE9P_255049168,255049168,7SAYGDEE9P,53061053605,Snohomish,https://www.wikidata.org/wiki/Q1505974,98290,2023,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model Y,https://www.wikidata.org/wiki/Q42298250,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_1G1FX6S00H_259063626,259063626,1G1FX6S00H,53073001203,Bellingham,https://www.wikidata.org/wiki/Q430267,98225,2017,Chevrolet,https://www.wikidata.org/wiki/Q29570,Chevrolet Bolt,https://www.wikidata.org/wiki/Q19580435,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,238
VID_1C4RJXR64R_252965989,252965989,1C4RJXR64R,53033006100,Seattle,https://www.wikidata.org/wiki/Q5083,98102,2024,Jeep,https://www.wikidata.org/wiki/Q30113,Jeep Wrangler,https://www.wikidata.org/wiki/Q1353305,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,21
VID_1G1RA6E46E_266173064,266173064,1G1RA6E46E,53061052301,Snohomish,https://www.wikidata.org/wiki/Q1505974,98290,2014,Chevrolet,https://www.wikidata.org/wiki/Q29570,Chevrolet Volt,https://www.wikidata.org/wiki/Q927395,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Clean Alternative Fuel Vehicle Eligible,38
VID_1N4BZ0CP0G_131308712,131308712,1N4BZ0CP0G,53041971100,Onalaska,https://www.wikidata.org/wiki/Q3474083,98570,2016,Nissan Motor Co. Ltd.,https://www.wikidata.org/wiki/Q20165,Nissan Leaf,https://www.wikidata.org/wiki/Q911323,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,84
VID_5YJ3E1EB2L_193763258,193763258,5YJ3E1EB2L,53061052112,Snohomish,https://www.wikidata.org/wiki/Q1505974,98296,2020,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,322
VID_KM8KNDAF6P_257752484,257752484,KM8KNDAF6P,53073001101,Bellingham,https://www.wikidata.org/wiki/Q430267,98229,2023,Hyundai Motor Company,https://www.wikidata.org/wiki/Q55931,Hyundai Ioniq 5,https://www.wikidata.org/wiki/Q99342695,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_1V2DNPE87P_254635776,254635776,1V2DNPE87P,53067011200,Olympia,https://www.wikidata.org/wiki/Q42735,98501,2023,Volkswagen Group,https://www.wikidata.org/wiki/Q156578,Volkswagen ID.4,https://www.wikidata.org/wiki/Q86668068,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_JTMABABA8P_235164310,235164310,JTMABABA8P,53061052204,Monroe,https://www.wikidata.org/wiki/Q1055861,98272,2023,Subaru,https://www.wikidata.org/wiki/Q172741,Subaru Solterra,https://www.wikidata.org/wiki/Q106798021,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
